"Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Date","Result","How out","Fielder","Bowler"
"140","-","107","21","2","130.84","3","stumped","2","v West Indies","Guwahati","21-Oct-18","W","stumped","SD Hope","D Bishoo"
"16","-","17","2","0","94.11","3","caught","1","v West Indies","Mumbai (BS)","29-Oct-18","W","caught","SD Hope","KAJ Roach"
"33","57","29","6","0","113.79","3","not out","2","v West Indies","Thiruvananthapuram","1-Nov-18","W","not out","",""
"104","150","112","5","2","92.85","3","caught","2","v Australia","Adelaide","15-Jan-19","W","caught","GJ Maxwell","JA Richardson"
"46","-","62","3","0","74.19","3","caught","2","v Australia","Melbourne","18-Jan-19","W","caught","AT Carey","JA Richardson"
"45","59","59","3","0","76.27","3","caught","2","v New Zealand","Napier","23-Jan-19","W","caught","TWM Latham","LH Ferguson"
"43","59","45","5","0","95.55","3","caught","1","v New Zealand","Mount Maunganui","26-Jan-19","W","caught","IS Sodhi","TA Boult"
"60","94","74","6","1","81.08","3","caught","2","v New Zealand","Mount Maunganui","28-Jan-19","W","caught","HM Nicholls","TA Boult"
"44","-","45","6","1","97.77","3","lbw","2","v Australia","Hyderabad (Deccan)","2-Mar-19","W","lbw","","A Zampa"
"116","-","120","10","0","96.66","3","caught","1","v Australia","Nagpur","5-Mar-19","W","caught","MP Stoinis","PJ Cummins"
"18","44","34","1","0","52.94","3","caught","2","v South Africa","Southampton","5-Jun-19","W","caught","Q de Kock","AL Phehlukwayo"
"82","128","77","4","2","106.49","3","caught","1","v Australia","The Oval","9-Jun-19","W","caught","PJ Cummins","MP Stoinis"
"77","105","65","7","0","118.46","3","caught","1","v Pakistan","Manchester","16-Jun-19","W","caught","Sarfaraz Ahmed","Mohammad Amir"
"67","105","63","5","0","106.34","3","caught","1","v Afghanistan","Southampton","22-Jun-19","W","caught","Rahmat Shah","Mohammad Nabi"
"72","146","82","8","0","87.8","3","caught","1","v West Indies","Manchester","27-Jun-19","W","caught","DM Bravo (sub)","JO Holder"
"26","45","27","3","0","96.29","3","caught","1","v Bangladesh","Birmingham","2-Jul-19","W","caught","Rubel Hossain","Mustafizur Rahman"
"34","61","41","3","0","82.92","3","not out","2","v Sri Lanka","Leeds","6-Jul-19","W","not out","",""
"120","179","125","14","1","96","3","caught","1","v West Indies","Port of Spain","11-Aug-19","W","caught","KAJ Roach","CR Brathwaite"
"114","127","99","14","0","115.15","3","not out","2","v West Indies","Port of Spain","14-Aug-19","W","not out","",""
"0","-","1","0","0","0","3","caught","1","v West Indies","Visakhapatnam","18-Dec-19","W","caught","RL Chase","KA Pollard"
"85","-","81","9","0","104.93","3","bowled","2","v West Indies","Cuttack","22-Dec-19","W","bowled","","KMA Paul"
"78","-","76","6","0","102.63","3","caught","1","v Australia","Rajkot","17-Jan-20","W","caught","MA Starc","A Zampa"
"89","-","91","8","0","97.8","3","bowled","2","v Australia","Bengaluru","19-Jan-20","W","bowled","","JR Hazlewood"
"63","-","78","5","0","80.76","3","caught","1","v Australia","Canberra","2-Dec-20","W","caught","AT Carey","JR Hazlewood"
"12","33","22","1","0","54.54","2","lbw","1","v Sri Lanka","Dambulla","18-Aug-08","L","lbw","","KMDN Kulasekara"
"31","45","46","3","1","67.39","1","lbw","2","v Sri Lanka","Colombo (RPS)","29-Aug-08","L","lbw","","KMDN Kulasekara"
"16","28","24","1","0","66.66","4","caught","2","v Pakistan","Centurion","26-Sep-09","L","caught","Umar Gul","Shahid Afridi"
"30","53","41","3","0","73.17","4","caught","2","v Australia","Vadodara","25-Oct-09","L","caught","SR Watson","AC Voges"
"10","32","16","1","0","62.5","3","caught","2","v Australia","Mohali","2-Nov-09","L","caught","GA Manou","DE Bollinger"
"54","93","65","7","0","83.07","4","lbw","1","v Sri Lanka","Nagpur","18-Dec-09","L","lbw","","S Randiv"
"9","19","12","1","0","75","3","caught","1","v Sri Lanka","Dhaka","5-Jan-10","L","caught","KC Sangakkara","UWMBCA Welegedara"
"2","6","8","0","0","25","3","caught","1","v Sri Lanka","Dhaka","13-Jan-10","L","caught","KC Sangakkara","UWMBCA Welegedara"
"57","-","71","4","1","80.28","3","caught","2","v South Africa","Ahmedabad","27-Feb-10","L","caught","MV Boucher","DW Steyn"
"0","3","0","0","0","-","3","run out","1","v Zimbabwe","Bulawayo","28-May-10","L","run out","",""
"18","28","29","1","0","62.06","3","caught","1","v Zimbabwe","Harare","3-Jun-10","L","caught","T Taibu","P Utseya"
"68","123","95","5","0","71.57","3","caught","1","v Sri Lanka","Harare","5-Jun-10","L","caught","BMAJ Mendis","T Thushara"
"10","13","14","1","0","71.42","3","caught","1","v Sri Lanka","Dambulla","22-Jun-10","L","caught","KC Sangakkara","MF Maharoof"
"37","98","57","5","0","64.91","3","caught","2","v Sri Lanka","Dambulla","28-Aug-10","L","caught","AD Mathews","NLTC Perera"
"54","122","70","2","1","77.14","3","caught","2","v South Africa","Durban","12-Jan-11","L","caught","GC Smith","DW Steyn"
"87","126","92","7","2","94.56","3","not out","2","v South Africa","Port Elizabeth","21-Jan-11","L","not out","",""
"2","11","6","0","0","33.33","3","caught","2","v South Africa","Centurion","23-Jan-11","L","caught","AB de Villiers","M Morkel"
"1","2","3","0","0","33.33","7","caught","1","v South Africa","Nagpur","12-Mar-11","L","caught","RJ Peterson","RJ Peterson"
"22","68","33","1","0","66.66","3","stumped","2","v West Indies","North Sound","13-Jun-11","L","stumped","CS Baugh","A Martin"
"94","135","104","10","0","90.38","3","run out","1","v West Indies","Kingston","16-Jun-11","L","run out","",""
"9","9","9","0","0","100","4","caught","1","v England","Southampton","6-Sep-11","L","caught","IR Bell","GP Swann"
"7","18","18","0","0","38.88","4","caught","1","v England","The Oval","9-Sep-11","L","caught","C Kieswetter","JM Anderson"
"107","102","93","9","1","115.05","4","hit wicket","1","v England","Cardiff","16-Sep-11","L","hit wicket","","GP Swann"
"20","21","30","3","0","66.66","4","lbw","2","v West Indies","Ahmedabad","5-Dec-11","L","lbw","","SP Narine"
"31","30","34","3","0","91.17","3","caught","2","v Australia","Melbourne","5-Feb-12","L","caught","RT Ponting","CJ McKay"
"12","44","25","0","0","48","3","caught","2","v Australia","Brisbane","19-Feb-12","L","caught","DJ Hussey","BW Hilfenhaus"
"66","116","83","2","0","79.51","4","caught","2","v Sri Lanka","Brisbane","21-Feb-12","L","caught","KMDN Kulasekara","NLTC Perera"
"21","36","27","2","0","77.77","4","caught","2","v Australia","Sydney","26-Feb-12","L","caught","DT Christian","SR Watson"
"66","126","82","5","0","80.48","3","bowled","1","v Bangladesh","Dhaka","16-Mar-12","L","bowled","","Abdur Razzak"
"1","6","5","0","0","20","3","caught","1","v Sri Lanka","Hambantota","24-Jul-12","L","caught","KC Sangakkara","NLTC Perera"
"0","9","5","0","0","0","3","bowled","1","v Pakistan","Chennai","30-Dec-12","L","bowled","","Junaid Khan"
"6","12","9","1","0","66.66","3","caught","2","v Pakistan","Kolkata","3-Jan-13","L","caught","Kamran Akmal","Junaid Khan"
"15","45","22","1","0","68.18","3","caught","2","v England","Rajkot","11-Jan-13","L","caught","C Kieswetter","TT Bresnan"
"0","1","1","0","0","0","3","caught","1","v England","Dharamsala","27-Jan-13","L","caught","JC Tredwell","TT Bresnan"
"11","19","21","0","1","52.38","3","caught","1","v West Indies","Kingston","30-Jun-13","L","caught","CH Gayle","DJG Sammy"
"2","6","5","0","0","40","4","caught","2","v Sri Lanka","Kingston","2-Jul-13","L","caught","SL Malinga","AD Mathews"
"61","121","85","6","0","71.76","3","lbw","2","v Australia","Pune","13-Oct-13","L","lbw","","SR Watson"
"68","121","73","9","0","93.15","3","caught","1","v Australia","Mohali","19-Oct-13","L","caught","BJ Haddin","GJ Maxwell"
"99","159","100","9","0","99","3","caught","1","v West Indies","Visakhapatnam","24-Nov-13","L","caught","JO Holder","R Rampaul"
"31","41","35","5","0","88.57","3","caught","2","v South Africa","Johannesburg","5-Dec-13","L","caught","JH Kallis","R McLaren"
"0","7","5","0","0","0","3","caught","2","v South Africa","Durban","8-Dec-13","L","caught","Q de Kock","LL Tsotsobe"
"123","179","111","11","2","110.81","3","caught","2","v New Zealand","Napier","19-Jan-14","L","caught","JD Ryder","MJ McClenaghan"
"78","88","65","7","2","120","3","caught","2","v New Zealand","Hamilton","22-Jan-14","L","caught","AP Devcich (sub)","TG Southee"
"2","14","10","0","0","20","2","caught","1","v New Zealand","Hamilton","28-Jan-14","L","caught","JDS Neesham","TG Southee"
"82","129","78","7","3","105.12","3","caught","2","v New Zealand","Wellington","31-Jan-14","L","caught","PF Younghusband (sub)","NL McCullum"
"48","66","51","4","1","94.11","3","bowled","1","v Sri Lanka","Fatullah","28-Feb-14","L","bowled","","BAW Mendis"
"5","29","11","0","0","45.45","3","caught","1","v Pakistan","Dhaka","2-Mar-14","L","caught","Umar Akmal","Umar Gul"
"13","25","21","2","0","61.9","3","caught","2","v England","Leeds","5-Sep-14","L","caught","AN Cook","JM Anderson"
"2","7","5","0","0","40","3","caught","2","v West Indies","Kochi","8-Oct-14","L","caught","DJG Sammy","JE Taylor"
"9","24","16","0","0","56.25","4","caught","1","v Australia","Melbourne","18-Jan-15","L","caught","GJ Bailey","JP Faulkner"
"4","13","8","0","0","50","4","caught","1","v England","Brisbane","20-Jan-15","L","caught","JC Buttler","ST Finn"
"8","26","19","0","0","42.1","3","caught","1","v England","Perth","30-Jan-15","L","caught","JE Root","MM Ali"
"1","11","13","0","0","7.69","3","caught","2","v Australia","Sydney","26-Mar-15","L","caught","BJ Haddin","MG Johnson"
"1","9","4","0","0","25","3","caught","2","v Bangladesh","Dhaka","18-Jun-15","L","caught","Mushfiqur Rahim","Taskin Ahmed"
"23","57","27","3","1","85.18","3","lbw","1","v Bangladesh","Dhaka","21-Jun-15","L","lbw","","Nasir Hossain"
"11","29","18","0","0","61.11","4","caught","2","v South Africa","Kanpur","11-Oct-15","L","caught","M Morkel","DW Steyn"
"77","155","99","5","0","77.77","3","caught","2","v South Africa","Rajkot","18-Oct-15","L","caught","DA Miller","M Morkel"
"7","11","6","0","1","116.66","3","caught","2","v South Africa","Mumbai","25-Oct-15","L","caught","Q de Kock","K Rabada"
"91","148","97","9","1","93.81","3","caught","1","v Australia","Perth","12-Jan-16","L","caught","AJ Finch","JP Faulkner"
"59","84","67","4","0","88.05","3","run out","1","v Australia","Brisbane","15-Jan-16","L","run out","",""
"117","174","117","7","2","100","3","caught","1","v Australia","Melbourne","17-Jan-16","L","caught","GJ Bailey","JW Hastings"
"106","131","92","11","1","115.21","3","caught","2","v Australia","Canberra","20-Jan-16","L","caught","SPD Smith","KW Richardson"
"9","18","13","1","0","69.23","3","caught","2","v New Zealand","Delhi","20-Oct-16","L","caught","L Ronchi","MJ Santner"
"45","64","51","2","1","88.23","3","caught","2","v New Zealand","Ranchi","26-Oct-16","L","caught","BJ Watling","IS Sodhi"
"55","81","63","8","0","87.3","3","caught","2","v England","Kolkata","22-Jan-17","L","caught","JC Buttler","BA Stokes"
"0","5","5","0","0","0","3","caught","1","v Sri Lanka","The Oval","8-Jun-17","L","caught","N Dickwella","N Pradeep"
"5","11","9","0","0","55.55","3","caught","2","v Pakistan","The Oval","18-Jun-17","L","caught","Shadab Khan","Mohammad Amir"
"3","-","12","0","0","25","3","caught","2","v West Indies","North Sound","2-Jul-17","L","caught","SD Hope","JO Holder"
"21","23","21","3","0","100","3","bowled","2","v Australia","Bengaluru","28-Sep-17","L","bowled","","NM Coulter-Nile"
"121","203","125","9","2","96.8","3","caught","1","v New Zealand","Mumbai","22-Oct-17","L","caught","TA Boult","TG Southee"
"75","119","83","7","1","90.36","3","caught","1","v South Africa","Johannesburg","10-Feb-18","L","caught","DA Miller","CH Morris"
"45","-","56","2","0","80.35","3","lbw","2","v England","Lord's","14-Jul-18","L","lbw","","MM Ali"
"71","98","72","8","0","98.61","3","bowled","1","v England","Leeds","17-Jul-18","L","bowled","","AU Rashid"
"107","-","119","10","1","89.91","3","bowled","2","v West Indies","Pune","27-Oct-18","L","bowled","","MN Samuels"
"3","10","8","0","0","37.5","3","caught","2","v Australia","Sydney","12-Jan-19","L","caught","MP Stoinis","JA Richardson"
"123","-","95","16","1","129.47","3","bowled","2","v Australia","Ranchi","8-Mar-19","L","bowled","","A Zampa"
"7","-","6","1","0","116.66","4","caught","1","v Australia","Mohali","10-Mar-19","L","caught","AT Carey","JA Richardson"
"20","-","22","2","0","90.9","3","caught","2","v Australia","Delhi","13-Mar-19","L","caught","AT Carey","MP Stoinis"
"66","103","76","7","0","86.84","3","caught","2","v England","Birmingham","30-Jun-19","L","caught","JM Vince (sub)","LE Plunkett"
"1","8","6","0","0","16.66","3","lbw","2","v New Zealand","Manchester","9-Jul-19","L","lbw","","TA Boult"
"4","-","4","1","0","100","3","bowled","1","v West Indies","Chennai","15-Dec-19","L","bowled","","SS Cottrell"
"16","-","14","0","1","114.28","4","caught","1","v Australia","Mumbai","14-Jan-20","L","caught","A Zampa","A Zampa"
"51","88","63","6","0","80.95","3","bowled","1","v New Zealand","Hamilton","5-Feb-20","L","bowled","","IS Sodhi"
"15","31","25","1","0","60","3","bowled","2","v New Zealand","Auckland","8-Feb-20","L","bowled","","TG Southee"
"9","20","12","0","1","75","3","caught","1","v New Zealand","Mount Maunganui","11-Feb-20","L","caught","KA Jamieson","HK Bennett"
"21","-","21","2","1","100","3","caught","2","v Australia","Sydney","27-Nov-20","L","caught","AJ Finch","JR Hazlewood"
"89","-","87","7","2","102.29","3","caught","2","v Australia","Sydney","29-Nov-20","L","caught","MC Henriques","JR Hazlewood"
"8","12","5","1","0","160","7","bowled","1","v England","Bengaluru","27-Feb-11","T","bowled","","TT Bresnan"
"16","40","36","1","0","44.44","4","caught","1","v England","Lord's","11-Sep-11","T","caught","C Kieswetter","GP Swann"
"15","32","25","1","0","60","3","lbw","2","v Sri Lanka","Adelaide","14-Feb-12","T","lbw","","NLTC Perera"
"6","27","20","1","0","30","3","caught","2","v New Zealand","Auckland","25-Jan-14","T","caught","L Ronchi","HK Bennett"
"157","217","129","13","4","121.7","3","not out","1","v West Indies","Visakhapatnam","24-Oct-18","T","not out","",""
"-","-","-","-","-","-","-","-","-","v Australia","Centurion","28-Sep-09","NR","TDNB","",""
"-","-","-","-","-","-","-","-","-","v Sri Lanka","Delhi","27-Dec-09","NR","TDNB","",""
"55","92","73","4","0","75.34","4","bowled","1","v England","Chester-le-Street","3-Sep-11","NR","bowled","","SR Patel"
"-","-","-","-","-","-","-","-","2","v Australia","Ranchi","23-Oct-13","NR","DNB","",""
"-","-","-","-","-","-","-","-","-","v South Africa","Centurion","11-Dec-13","NR","TDNB","",""
"3","8","9","0","0","33.33","4","not out","1","v Australia","Sydney","26-Jan-15","NR","not out","",""
"32","-","47","1","0","68.08","3","not out","1","v West Indies","Port of Spain","23-Jun-17","NR","not out","",""
"-","-","-","-","-","-","-","-","-","v West Indies","Providence","8-Aug-19","NR","TDNB","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
